Date selected: 5/26/2023 12:00:00 AM to 5/26/2023 11:59:59 PM

Response count for each interval,,,,,Percentage of each response per interval
Answer,x-axis,y-axis,,,Answer,x-axis,y-axis
0,0,0,,,0,0%,0%
0.5,0,0,,,0.5,0%,0%
1,3,1,,,1,20%,6.66666666666667%
1.5,0,0,,,1.5,0%,0%
2,1,2,,,2,6.66666666666667%,13.3333333333333%
2.5,0,1,,,2.5,0%,6.66666666666667%
3,0,0,,,3,0%,0%
3.5,2,3,,,3.5,13.3333333333333%,20%
4,1,1,,,4,6.66666666666667%,6.66666666666667%
4.5,0,2,,,4.5,0%,13.3333333333333%
5,2,1,,,5,13.3333333333333%,6.66666666666667%
5.5,2,2,,,5.5,13.3333333333333%,13.3333333333333%
6,0,1,,,6,0%,6.66666666666667%
6.5,0,1,,,6.5,0%,6.66666666666667%
7,1,0,,,7,6.66666666666667%,0%
7.5,2,0,,,7.5,13.3333333333333%,0%
8,0,0,,,8,0%,0%
8.5,0,0,,,8.5,0%,0%
9,0,0,,,9,0%,0%
9.5,1,0,,,9.5,6.66666666666667%,0%
10,0,0,,,10,0%,0%
Average,4.566667,3.966667
Total,15,15,,,Total,15,15

Response count for each question option
Question,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH,TotalAnswers
Question1,1,2,7,0,0,0,0,0,10
Question2,0,2,8,7,1,0,0,0,18
Question3,1,1,4,0,2,1,0,0,9
Question4,1,3,6,7,4,0,0,0,21
Question5,0,0,4,5,0,0,0,0,9
Question6,3,8,9,4,0,0,0,0,24
Question7,0,0,3,2,4,0,0,0,9

Percentage of each response per question over total responses
Question,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH
Question1,6.66666666666667%,13.3333333333333%,46.6666666666667%,0%,0%,0%,0%,0%
Question2,0%,13.3333333333333%,53.3333333333333%,46.6666666666667%,6.66666666666667%,0%,0%,0%
Question3,6.66666666666667%,6.66666666666667%,26.6666666666667%,0%,13.3333333333333%,6.66666666666667%,0%,0%
Question4,6.66666666666667%,20%,40%,46.6666666666667%,26.6666666666667%,0%,0%,0%
Question5,0%,0%,26.6666666666667%,33.3333333333333%,0%,0%,0%,0%
Question6,20%,53.3333333333333%,60%,26.6666666666667%,0%,0%,0%,0%
Question7,0%,0%,20%,13.3333333333333%,26.6666666666667%,0%,0%,0%

Hour Interval,Frequency
00:00-01:59,0
01:00-02:59,0
02:00-03:59,0
03:00-04:59,0
04:00-05:59,0
05:00-06:59,0
06:00-07:59,0
07:00-08:59,0
08:00-09:59,6
09:00-10:59,7
10:00-11:59,2
11:00-12:59,0
12:00-13:59,0
13:00-14:59,0
14:00-15:59,0
15:00-16:59,0
16:00-17:59,0
17:00-18:59,0
18:00-19:59,0
19:00-20:59,0
20:00-21:59,0
21:00-22:59,0
22:00-23:59,0
23:00-24:59,0
Total,15
