Date selected: 1/5/2023 12:00:00 am to 1/5/2023 11:59:59 pm

Response count for each interval,,,,,Percentage of each response per interval
Answer,x-axis,y-axis,,,Answer,x-axis,y-axis
0,0,0,,,0,0%,0%
0.5,0,0,,,0.5,0%,0%
1,0,0,,,1,0%,0%
1.5,0,3,,,1.5,0%,25%
2,0,0,,,2,0%,0%
2.5,0,0,,,2.5,0%,0%
3,3,3,,,3,25%,25%
3.5,0,6,,,3.5,0%,50%
4,3,0,,,4,25%,0%
4.5,6,12,,,4.5,50%,100%
5,3,0,,,5,25%,0%
5.5,3,3,,,5.5,25%,25%
6,6,0,,,6,50%,0%
6.5,3,6,,,6.5,25%,50%
7,6,3,,,7,50%,25%
7.5,3,0,,,7.5,25%,0%
8,0,0,,,8,0%,0%
8.5,0,0,,,8.5,0%,0%
9,0,0,,,9,0%,0%
9.5,0,0,,,9.5,0%,0%
10,0,0,,,10,0%,0%
Average,5.541667,4.583333
Total,12,12,,,Total,12,12

Response count for each question option
Question,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH,TotalAnswers
Question1,0,2,0,0,0,0,0,0,2
Question2,0,1,2,1,1,0,0,0,5
Question3,0,1,2,0,0,0,0,0,3
Question4,0,0,1,1,0,0,0,0,2
Question5,0,2,0,0,0,0,0,0,2
Question6,0,1,1,0,0,0,0,0,2
Question7,0,1,1,1,0,0,0,0,3
Question8,1,1,0,0,0,0,0,0,2
Question9,1,0,0,0,0,0,0,0,1

Percentage of each response per question over total responses
Question,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH
Question1,0%,16.6666666666667%,0%,0%,0%,0%,0%,0%
Question2,0%,8.33333333333333%,16.6666666666667%,8.33333333333333%,8.33333333333333%,0%,0%,0%
Question3,0%,8.33333333333333%,16.6666666666667%,0%,0%,0%,0%,0%
Question4,0%,0%,8.33333333333333%,8.33333333333333%,0%,0%,0%,0%
Question5,0%,16.6666666666667%,0%,0%,0%,0%,0%,0%
Question6,0%,8.33333333333333%,8.33333333333333%,0%,0%,0%,0%,0%
Question7,0%,8.33333333333333%,8.33333333333333%,8.33333333333333%,0%,0%,0%,0%
Question8,8.33333333333333%,8.33333333333333%,0%,0%,0%,0%,0%,0%
Question9,8.33333333333333%,0%,0%,0%,0%,0%,0%,0%

Hour Interval,Frequency
00:00-01:59,0
01:00-02:59,0
02:00-03:59,0
03:00-04:59,0
04:00-05:59,0
05:00-06:59,0
06:00-07:59,0
07:00-08:59,0
08:00-09:59,0
09:00-10:59,0
10:00-11:59,0
11:00-12:59,0
12:00-13:59,0
13:00-14:59,0
14:00-15:59,12
15:00-16:59,0
16:00-17:59,0
17:00-18:59,0
18:00-19:59,0
19:00-20:59,0
20:00-21:59,0
21:00-22:59,0
22:00-23:59,0
23:00-24:59,0
Total,12
