Date range: 26/5/2023 2:00:14 pm to 26/5/2023 4:36:01 pm
Response count for each interval,,,,,Percentage of each response per interval
Answer,x-axis,y-axis,,,Answer,x-axis,y-axis
0,0,0,,,0,0%,0%
0.5,0,0,,,0.5,0%,0%
1,0,0,,,1,0%,0%
1.5,0,3,,,1.5,0%,10%
2,0,0,,,2,0%,0%
2.5,0,3,,,2.5,0%,10%
3,9,3,,,3,30%,10%
3.5,0,6,,,3.5,0%,20%
4,6,6,,,4,20%,20%
4.5,12,12,,,4.5,40%,40%
5,9,3,,,5,30%,10%
5.5,12,12,,,5.5,40%,40%
6,12,15,,,6,40%,50%
6.5,9,15,,,6.5,30%,50%
7,6,6,,,7,20%,20%
7.5,6,0,,,7.5,20%,0%
8,9,3,,,8,30%,10%
8.5,0,3,,,8.5,0%,10%
9,0,0,,,9,0%,0%
9.5,0,0,,,9.5,0%,0%
10,0,0,,,10,0%,0%
Average,5.616667,5.333333
Total,30,30,,,Total,30,30

Response count for each question option
Question,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH,TotalAnswers
Question1,0,2,0,0,0,0,0,0,2
Question2,0,1,2,1,1,0,0,0,5
Question3,0,1,2,0,0,0,0,0,3
Question4,0,0,1,1,0,0,0,0,2
Question5,0,2,0,0,0,0,0,0,2
Question6,0,1,1,0,0,0,0,0,2
Question7,0,1,1,1,0,0,0,0,3
Question8,1,1,0,0,0,0,0,0,2
Question9,1,0,0,0,0,0,0,0,1

Percentage of each response per question over total responses
Question,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH
Question1,0%,6.66666666666667%,0%,0%,0%,0%,0%,0%
Question2,0%,3.33333333333333%,6.66666666666667%,3.33333333333333%,3.33333333333333%,0%,0%,0%
Question3,0%,3.33333333333333%,6.66666666666667%,0%,0%,0%,0%,0%
Question4,0%,0%,3.33333333333333%,3.33333333333333%,0%,0%,0%,0%
Question5,0%,6.66666666666667%,0%,0%,0%,0%,0%,0%
Question6,0%,3.33333333333333%,3.33333333333333%,0%,0%,0%,0%,0%
Question7,0%,3.33333333333333%,3.33333333333333%,3.33333333333333%,0%,0%,0%,0%
Question8,3.33333333333333%,3.33333333333333%,0%,0%,0%,0%,0%,0%
Question9,3.33333333333333%,0%,0%,0%,0%,0%,0%,0%

Hour Interval,Frequency
00:00-01:59,0
01:00-02:59,0
02:00-03:59,0
03:00-04:59,0
04:00-05:59,0
05:00-06:59,0
06:00-07:59,0
07:00-08:59,0
08:00-09:59,0
09:00-10:59,0
10:00-11:59,0
11:00-12:59,0
12:00-13:59,0
13:00-14:59,0
14:00-15:59,12
15:00-16:59,14
16:00-17:59,4
17:00-18:59,0
18:00-19:59,0
19:00-20:59,0
20:00-21:59,0
21:00-22:59,0
22:00-23:59,0
23:00-24:59,0
Total,30
