date,point_x,point_y,question1,question2,question3
'26/05/2023 17:46:12,5.316265,4.819277, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 10:33:43,7.115385,7.615385, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; 
'01/06/2023 10:34:10,2.596154,5.596154, ; ; ;vfds; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 10:52:08,7.192308,8.615385, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 10:57:26,4.442308,4.288462, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 10:58:10,4.346154,5.384615, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 10:58:28,5.75,3.519231, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:03:38,6.192308,3.211539, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:04:13,5.596154,3.192308, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:05:04,5.326923,2.769231, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:18:47,7.038462,3.711539, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:19:13,7.269231,2.288462, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:21:36,3.634615,2.692308, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:21:42,8.076923,7.038462, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 11:24:27,2.288462,3.115385, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:45:04,4,2.615385, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:45:08,-4.653846,-1.730769, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:45:12,4.461539,-3.692307, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:45:17,-4.192307,4.076923, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:46:05,-9.615385,9.384616, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:46:11,-9.846154,-9.807693, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:46:16,9.884616,-9.884615, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:46:21,9.846154,9.923078, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:53:37,-9.884615,9.461539, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:56:37,-9.384615,-9.115385, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:56:41,-8.038462,-8.076923, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:56:45,-7.346154,-7.153847, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:59:29,-7.5,-3.692308, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:59:33,-7.384615,-5.884616, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 12:59:37,-5.038461,-3.5, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:00:46,-8.769231,-6.884616, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:00:49,-6.346154,-5.769231, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:02:59,-4.115385,-2.769231, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:03:03,-1.692307,-6, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:03:10,-3.192307,2.307692, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:03:15,1.115385,-1.5, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:03:44,-0.1538458,0.1538458, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:04:52,9.807693,9.923077, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:04:57,9.73077,-9.846154, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:05:03,-9.769231,-9.153847, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:05:07,-9.730769,9.884615, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:17:13,5.192308,-6.076924, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:35:26,-4.26923,-1.692308, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:36:12,-3.5,-4.153847, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ;fdssd; ; ; ; ; ; ,
'01/06/2023 13:36:35,-4.076923,-0.615385, ; ;fdsvf; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:37:08,-3.5,3.538461, ;fdsvfs; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:37:38,-1.923077,2.384615, ; ; ; ; ; ; ; ,vfdsvfds; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:38:06,-4.576923,2.538461, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:38:23,4.038462,1.961538, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,vfdsv; ; ; ; ; ; ; ,
'01/06/2023 13:39:03,4.115385,4.076923,dsvfsv; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:39:17,7.961539,-5.076924, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:39:25,-7.461538,6.153846, ;fdsvfs;fdsvf; ; ; ; ; ,vfdsvfds; ; ;fsvfds; ; ; ; , ; ;vfdsvf;vfdsv; ; ; ; ,
'01/06/2023 13:41:49,-6.846154,2.076923, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:42:06,-8.038462,3.692307, ; ; ;vfds; ; ; ; , ; ;dsvfds;fsvfds; ; ; ; , ;fdssd;vfdsvf; ; ; ; ; ,
'01/06/2023 13:46:26,-7.692307,4.038461, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ;vfdsvf; ; ; ; ; ,
'01/06/2023 13:54:35,-1.76923,-1.115385, ; ;fdsvf; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 13:54:46,6.115385,-6.038462, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 14:03:06,5.769231,-2.153847, ; ; ; ; ; ; ; , ;fdsv; ;fsvfds; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 14:03:21,-2.538461,1.192307, ; ;fdsvf; ; ; ; ; , ;fdsv;dsvfds;fsvfds;vfds; ; ; ,vfdsv; ;vfdsvf; ; ; ; ; ,
'01/06/2023 14:16:30,-1.730769,-1,dsvfsv; ; ; ; ; ; ; , ; ;dsvfds; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 14:22:31,4.769231,2.192307, ; ; ; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 14:22:38,6.307693,3.384615, ; ; ;vfds; ; ; ; ,vfdsvfds;fdsv;dsvfds; ; ; ; ; , ; ; ;vfdsv; ; ; ; ,
'01/06/2023 14:22:55,7.653847,-6.423078, ; ;fdsvf; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 14:40:03,7.269231,1.923077,,,,
'01/06/2023 14:40:32,8.923078,-4, ; ;fdsvf; ; ; ; ; , ; ; ; ; ; ; ; , ; ; ; ; ; ; ; ,
'01/06/2023 16:11:43,-3.423077,5.153846,dsvfsv; ; ; ; ; ; ; , ;fdsv;dsvfds;fsvfds; ; ; ; , ;fdssd;vfdsvf; ;fdsvfd; ; ; ,
'01/06/2023 16:28:03,1.269231,4.846154
'01/06/2023 16:38:31,6.384616,-1.423077, ; ; ;scd;cdscds; ; ; , ; ; ;dscd;cds; ; ; , ; ; ;cdsav; ; ; ; 
'01/06/2023 16:38:40,-7.153846,6.230769, ; ; ;scd; ; ; ; , ; ; ; ;cds;dscdscds; ; , ; ; ; ; ; ; ; 
'01/06/2023 17:26:10,4.961539,5.115385, ;a; ; ; ; ; ; , ;a;a;dscd;cds; ; ; , ; ; ; ; ; ; ; 
